Stazione,IQA,PM10µg/m³,PM2.5µg/m³,NO2µg/m³,COmg/m³,SO2µg/m³,O3µg/m³,O3*µg/m³,C6H6µg/m³,CO2ppm,Date
Montesilvano Montesilvano (PE),Buona,13,10,9,0.19,--,--,--,0.1,--,2024-06-01
Ortona Villa Caldari Ortona (CH),Accettabile,9,6,12,0.56,--,107,97,0.0,--,2024-06-01
Porta Reale Teramo (TE),Buona,8,--,26,0.31,--,--,--,0.2,--,2024-06-01
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,3,--,--,110,108,0.1,--,2024-06-01
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,104,100,0.0,401.1,2024-06-01
Scuola Antonelli Chieti Scalo (CH),Accettabile,9,2,11,--,1,102,99,0.0,--,2024-06-01
T. D'Annunzio Pescara (PE),Accettabile,11,4,8,0.16,0,100,98,0.0,--,2024-06-01
Via Amiternum L'Aquila (AQ),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2024-06-01
Via Firenze Pescara (PE),Buona,12,7,30,0.30,--,--,--,0.1,--,2024-06-01
Via Sacco Pescara (PE),Accettabile,21,--,14,--,--,108,106,--,--,2024-06-01
Arischia L'Aquila (AQ),Accettabile,--,--,66,--,--,95,82,0.2,--,2024-05-31
Atessa Atessa (CH),Buona,9,--,--,0.07,--,--,--,0.2,--,2024-05-31
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,7,5,16,0.28,--,106,94,--,--,2024-05-31
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,11,--,--,95,92,0.1,--,2024-05-31
Francavilla Francavilla al mare (CH),Accettabile,12,6,14,--,--,98,90,0.1,--,2024-05-31
Gammarana Teramo (TE),Buona,--,3,20,--,--,--,--,--,--,2024-05-31
Montesilvano Montesilvano (PE),Buona,16,7,24,0.18,--,--,--,0.2,--,2024-05-31
Ortona Villa Caldari Ortona (CH),Accettabile,13,8,16,0.77,--,105,95,0.1,--,2024-05-31
Porta Reale Teramo (TE),Buona,7,--,39,0.37,--,--,--,0.3,--,2024-05-31
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,7,--,--,103,95,0.0,--,2024-05-31
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,101,97,0.0,402.0,2024-05-31
Scuola Antonelli Chieti Scalo (CH),Accettabile,17,10,25,--,1,98,93,0.1,--,2024-05-31
T. D'Annunzio Pescara (PE),Accettabile,16,7,21,0.24,0,92,84,0.0,--,2024-05-31
Via Amiternum L'Aquila (AQ),n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2024-05-31
Via Firenze Pescara (PE),Buona,16,8,34,0.37,--,--,--,0.3,--,2024-05-31
Via Sacco Pescara (PE),Accettabile,15,--,21,--,--,108,99,--,--,2024-05-31
Arischia L'Aquila (AQ),Accettabile,--,--,3,--,--,98,85,0.1,--,2024-05-30
Atessa Atessa (CH),Buona,11,--,--,0.07,--,--,--,0.2,--,2024-05-30
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,7,4,20,0.28,--,94,82,--,--,2024-05-30
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,8,--,--,105,96,0.1,--,2024-05-30
Francavilla Francavilla al mare (CH),Accettabile,10,6,18,--,--,109,104,0.1,--,2024-05-30
Gammarana Teramo (TE),Buona,--,6,18,--,--,--,--,--,--,2024-05-30
Montesilvano Montesilvano (PE),Buona,14,8,17,0.20,--,--,--,0.2,--,2024-05-30
Ortona Villa Caldari Ortona (CH),Accettabile,12,9,8,0.50,--,105,102,0.0,--,2024-05-30
Porta Reale Teramo (TE),Buona,12,--,35,0.38,--,--,--,0.3,--,2024-05-30
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,9,--,--,101,92,0.0,--,2024-05-30
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,102,98,0.0,403.7,2024-05-30
Scuola Antonelli Chieti Scalo (CH),Accettabile,14,9,17,--,1,110,105,0.1,--,2024-05-30
T. D'Annunzio Pescara (PE),Accettabile,11,6,24,0.19,0,94,89,0.0,--,2024-05-30
Via Amiternum L'Aquila (AQ),Accettabile,n.d.,n.d.,22,--,1,106,95,0.0,--,2024-05-30
Via Firenze Pescara (PE),Buona,11,7,35,0.33,--,--,--,0.3,--,2024-05-30
Via Sacco Pescara (PE),Accettabile,10,--,26,--,--,114,109,--,--,2024-05-30
Arischia L'Aquila (AQ),Accettabile,--,--,10,--,--,95,92,0.3,--,2024-05-29
Atessa Atessa (CH),Buona,9,--,--,0.06,--,--,--,0.2,--,2024-05-29
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,8,5,19,0.25,--,92,74,--,--,2024-05-29
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,16,--,--,101,86,0.2,--,2024-05-29
Francavilla Francavilla al mare (CH),Accettabile,11,7,20,--,--,103,91,0.2,--,2024-05-29
Gammarana Teramo (TE),Buona,--,7,30,--,--,--,--,--,--,2024-05-29
Montesilvano Montesilvano (PE),Buona,13,7,18,0.19,--,--,--,0.3,--,2024-05-29
Ortona Villa Caldari Ortona (CH),Accettabile,10,7,10,0.40,--,105,97,0.0,--,2024-05-29
Porta Reale Teramo (TE),Accettabile,19,--,48,0.36,--,--,--,0.8,--,2024-05-29
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,10,--,--,100,93,0.1,--,2024-05-29
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,3,--,--,102,86,0.0,406.5,2024-05-29
Scuola Antonelli Chieti Scalo (CH),Accettabile,15,11,22,--,1,105,90,0.1,--,2024-05-29
T. D'Annunzio Pescara (PE),Accettabile,12,7,18,0.16,1,83,77,0.0,--,2024-05-29
Via Amiternum L'Aquila (AQ),Accettabile,10,6,20,--,1,100,95,0.1,--,2024-05-29
Via Firenze Pescara (PE),Buona,12,7,33,0.77,--,--,--,0.3,--,2024-05-29
Via Sacco Pescara (PE),Accettabile,11,--,22,--,--,111,101,--,--,2024-05-29
Arischia L'Aquila (AQ),Accettabile,--,--,5,--,--,103,100,0.5,--,2024-05-28
Atessa Atessa (CH),Buona,9,--,--,0.05,--,--,--,0.2,--,2024-05-28
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,8,5,23,0.25,--,99,93,--,--,2024-05-28
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,7,--,--,107,104,0.1,--,2024-05-28
Francavilla Francavilla al mare (CH),Accettabile,12,7,23,--,--,111,109,0.1,--,2024-05-28
Gammarana Teramo (TE),Buona,--,4,18,--,--,--,--,--,--,2024-05-28
Montesilvano Montesilvano (PE),Buona,12,7,18,0.18,--,--,--,0.1,--,2024-05-28
Ortona Villa Caldari Ortona (CH),Accettabile,10,7,10,0.41,--,109,104,0.1,--,2024-05-28
Porta Reale Teramo (TE),Buona,9,--,37,0.30,--,--,--,0.6,--,2024-05-28
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,8,--,--,113,107,0.0,--,2024-05-28
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,113,110,0.0,422.1,2024-05-28
Scuola Antonelli Chieti Scalo (CH),Accettabile,13,10,34,--,1,111,107,0.1,--,2024-05-28
T. D'Annunzio Pescara (PE),Accettabile,11,7,29,0.16,1,96,94,0.0,--,2024-05-28
Via Amiternum L'Aquila (AQ),Accettabile,10,7,18,--,1,110,107,0.1,--,2024-05-28
Via Firenze Pescara (PE),Buona,12,7,37,0.74,--,--,--,0.3,--,2024-05-28
Via Sacco Pescara (PE),Accettabile,n.d.,--,29,--,--,115,114,--,--,2024-05-28
Arischia L'Aquila (AQ),Accettabile,--,--,4,--,--,101,96,0.5,--,2024-05-27
Atessa Atessa (CH),Buona,10,--,--,0.03,--,--,--,0.2,--,2024-05-27
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,7,5,18,0.23,--,103,97,--,--,2024-05-27
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,8,--,--,116,114,0.1,--,2024-05-27
Francavilla Francavilla al mare (CH),Mediocre,11,7,13,--,--,121,115,0.1,--,2024-05-27
Gammarana Teramo (TE),Buona,--,3,20,--,--,--,--,--,--,2024-05-27
Montesilvano Montesilvano (PE),Buona,12,6,16,0.17,--,--,--,0.1,--,2024-05-27
Ortona Villa Caldari Ortona (CH),Accettabile,10,7,17,0.41,--,119,114,0.0,--,2024-05-27
Porta Reale Teramo (TE),Buona,8,--,32,0.37,--,--,--,0.3,--,2024-05-27
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,6,--,--,113,109,0.1,--,2024-05-27
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,113,110,0.0,408.9,2024-05-27
Scuola Antonelli Chieti Scalo (CH),Mediocre,13,9,33,--,1,121,120,0.1,--,2024-05-27
T. D'Annunzio Pescara (PE),Accettabile,15,7,23,0.11,0,106,100,0.0,--,2024-05-27
Via Amiternum L'Aquila (AQ),Accettabile,9,6,16,--,1,111,105,0.1,--,2024-05-27
Via Firenze Pescara (PE),Buona,12,7,31,0.70,--,--,--,0.5,--,2024-05-27
Via Sacco Pescara (PE),Mediocre,n.d.,--,25,--,--,127,124,--,--,2024-05-27
Arischia L'Aquila (AQ),Accettabile,--,--,3,--,--,103,90,0.5,--,2024-05-26
Atessa Atessa (CH),Buona,8,--,--,0.03,--,--,--,0.2,--,2024-05-26
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,8,5,22,0.23,--,108,95,--,--,2024-05-26
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,8,--,--,108,103,0.1,--,2024-05-26
Francavilla Francavilla al mare (CH),Accettabile,12,7,15,--,--,104,99,0.1,--,2024-05-26
Gammarana Teramo (TE),Buona,--,5,17,--,--,--,--,--,--,2024-05-26
Montesilvano Montesilvano (PE),Buona,15,9,15,0.18,--,--,--,0.2,--,2024-05-26
Ortona Villa Caldari Ortona (CH),Accettabile,9,7,16,0.38,--,107,103,0.1,--,2024-05-26
Porta Reale Teramo (TE),Buona,14,--,34,0.34,--,--,--,0.4,--,2024-05-26
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,10,--,--,106,103,0.1,--,2024-05-26
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,100,86,0.0,411.6,2024-05-26
Scuola Antonelli Chieti Scalo (CH),Accettabile,13,9,28,--,2,111,105,0.1,--,2024-05-26
T. D'Annunzio Pescara (PE),Accettabile,14,7,23,0.11,0,101,92,0.0,--,2024-05-26
Via Amiternum L'Aquila (AQ),Accettabile,10,6,19,--,1,111,103,0.1,--,2024-05-26
Via Firenze Pescara (PE),Accettabile,13,8,44,0.73,--,--,--,0.2,--,2024-05-26
Via Sacco Pescara (PE),Accettabile,13,--,37,--,--,114,109,--,--,2024-05-26
Arischia L'Aquila (AQ),Accettabile,--,--,4,--,--,102,98,n.d.,--,2024-05-25
Atessa Atessa (CH),Buona,12,--,--,0.03,--,--,--,0.2,--,2024-05-25
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,8,5,22,0.23,--,104,98,--,--,2024-05-25
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,10,--,--,104,99,0.1,--,2024-05-25
Francavilla Francavilla al mare (CH),Accettabile,10,4,14,--,--,110,103,0.1,--,2024-05-25
Gammarana Teramo (TE),Buona,--,5,22,--,--,--,--,--,--,2024-05-25
Montesilvano Montesilvano (PE),Buona,13,7,20,0.18,--,--,--,0.2,--,2024-05-25
Ortona Villa Caldari Ortona (CH),Accettabile,11,8,13,0.38,--,114,108,0.2,--,2024-05-25
Porta Reale Teramo (TE),Buona,20,--,37,0.25,--,--,--,0.3,--,2024-05-25
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,9,--,--,116,109,0.3,--,2024-05-25
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,108,104,0.0,403.8,2024-05-25
Scuola Antonelli Chieti Scalo (CH),Accettabile,14,8,20,--,2,109,104,0.1,--,2024-05-25
T. D'Annunzio Pescara (PE),Accettabile,12,6,24,0.06,1,98,89,0.0,--,2024-05-25
Via Amiternum L'Aquila (AQ),Buona,9,5,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2024-05-25
Via Firenze Pescara (PE),Buona,11,6,33,0.72,--,--,--,0.4,--,2024-05-25
Via Sacco Pescara (PE),Accettabile,9,--,33,--,--,119,113,--,--,2024-05-25
Arischia L'Aquila (AQ),Accettabile,--,--,3,--,--,106,98,n.d.,--,2024-05-24
Atessa Atessa (CH),Buona,11,--,--,0.01,--,--,--,0.2,--,2024-05-24
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,9,6,23,0.21,--,107,95,--,--,2024-05-24
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,7,--,--,98,96,0.1,--,2024-05-24
Francavilla Francavilla al mare (CH),Accettabile,10,5,11,--,--,102,100,0.1,--,2024-05-24
Gammarana Teramo (TE),Buona,--,4,18,--,--,--,--,--,--,2024-05-24
Montesilvano Montesilvano (PE),Buona,13,6,17,0.16,--,--,--,0.1,--,2024-05-24
Ortona Villa Caldari Ortona (CH),Accettabile,7,5,12,0.32,--,101,99,0.0,--,2024-05-24
Porta Reale Teramo (TE),Accettabile,16,--,42,0.26,--,--,--,0.3,--,2024-05-24
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,9,--,--,111,107,0.2,--,2024-05-24
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,102,97,0.0,406.9,2024-05-24
Scuola Antonelli Chieti Scalo (CH),Accettabile,11,7,14,--,1,100,99,0.0,--,2024-05-24
T. D'Annunzio Pescara (PE),Accettabile,10,4,27,0.05,1,89,85,0.0,--,2024-05-24
Via Amiternum L'Aquila (AQ),Buona,10,5,n.d.,--,n.d.,n.d.,n.d.,n.d.,--,2024-05-24
Via Firenze Pescara (PE),Buona,10,6,36,0.72,--,--,--,0.3,--,2024-05-24
Via Sacco Pescara (PE),Accettabile,13,--,35,--,--,109,106,--,--,2024-05-24
Arischia L'Aquila (AQ),Accettabile,--,--,4,--,--,104,92,n.d.,--,2024-05-23
Atessa Atessa (CH),Buona,11,--,--,0.02,--,--,--,0.2,--,2024-05-23
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,8,4,18,0.20,--,99,89,--,--,2024-05-23
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,6,--,--,95,91,0.1,--,2024-05-23
Francavilla Francavilla al mare (CH),Accettabile,14,9,20,--,--,103,98,0.1,--,2024-05-23
Gammarana Teramo (TE),Buona,--,5,24,--,--,--,--,--,--,2024-05-23
Montesilvano Montesilvano (PE),Buona,14,7,24,0.13,--,--,--,0.1,--,2024-05-23
Ortona Villa Caldari Ortona (CH),Accettabile,7,6,9,0.33,--,99,95,0.0,--,2024-05-23
Porta Reale Teramo (TE),Accettabile,9,--,45,0.26,--,--,--,0.3,--,2024-05-23
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,9,--,--,111,100,0.1,--,2024-05-23
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,96,101,0.0,400.6,2024-05-23
Scuola Antonelli Chieti Scalo (CH),Accettabile,10,6,23,--,1,97,90,0.1,--,2024-05-23
T. D'Annunzio Pescara (PE),Accettabile,12,4,21,0.04,0,93,87,0.0,--,2024-05-23
Via Amiternum L'Aquila (AQ),Accettabile,n.d.,n.d.,14,--,1,111,97,0.1,--,2024-05-23
Via Firenze Pescara (PE),Buona,12,6,40,0.73,--,--,--,0.3,--,2024-05-23
Via Sacco Pescara (PE),Accettabile,11,--,29,--,--,110,107,--,--,2024-05-23
Arischia L'Aquila (AQ),Accettabile,--,--,4,--,--,98,93,n.d.,--,2024-05-22
Atessa Atessa (CH),Accettabile,26,--,--,0.03,--,--,--,0.2,--,2024-05-22
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,14,6,10,0.28,--,119,109,--,--,2024-05-22
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,11,--,--,95,90,0.1,--,2024-05-22
Francavilla Francavilla al mare (CH),Accettabile,22,7,15,--,--,98,93,0.1,--,2024-05-22
Gammarana Teramo (TE),Buona,--,6,21,--,--,--,--,--,--,2024-05-22
Montesilvano Montesilvano (PE),Accettabile,24,8,29,0.17,--,--,--,0.1,--,2024-05-22
Ortona Villa Caldari Ortona (CH),Accettabile,20,9,13,0.34,--,97,91,0.0,--,2024-05-22
Porta Reale Teramo (TE),Accettabile,25,--,30,0.26,--,--,--,0.3,--,2024-05-22
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,11,--,--,110,106,0.0,--,2024-05-22
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,113,n.d.,0.0,407.3,2024-05-22
Scuola Antonelli Chieti Scalo (CH),Accettabile,33,9,17,--,1,97,95,0.1,--,2024-05-22
T. D'Annunzio Pescara (PE),Accettabile,25,7,24,0.04,0,83,78,0.0,--,2024-05-22
Via Amiternum L'Aquila (AQ),Accettabile,14,6,30,--,0,104,99,0.0,--,2024-05-22
Via Firenze Pescara (PE),Accettabile,26,8,40,0.73,--,--,--,0.3,--,2024-05-22
Via Sacco Pescara (PE),Accettabile,24,--,34,--,--,103,97,--,--,2024-05-22
Arischia L'Aquila (AQ),Accettabile,--,--,3,--,--,99,92,n.d.,--,2024-05-21
Atessa Atessa (CH),Accettabile,35,--,--,0.05,--,--,--,0.2,--,2024-05-21
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,24,9,17,0.30,--,100,87,--,--,2024-05-21
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,8,--,--,87,80,0.2,--,2024-05-21
Francavilla Francavilla al mare (CH),Accettabile,27,10,12,--,--,93,87,0.2,--,2024-05-21
Gammarana Teramo (TE),Accettabile,--,14,15,--,--,--,--,--,--,2024-05-21
Montesilvano Montesilvano (PE),Accettabile,30,11,12,0.22,--,--,--,0.2,--,2024-05-21
Ortona Villa Caldari Ortona (CH),Accettabile,28,13,7,0.34,--,92,89,0.1,--,2024-05-21
Porta Reale Teramo (TE),Mediocre,36,--,31,0.28,--,--,--,0.3,--,2024-05-21
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,10,--,--,101,91,0.1,--,2024-05-21
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,3,--,--,88,85,0.0,405.5,2024-05-21
Scuola Antonelli Chieti Scalo (CH),Mediocre,36,17,20,--,1,88,84,0.2,--,2024-05-21
T. D'Annunzio Pescara (PE),Accettabile,30,9,19,0.05,0,78,72,0.0,--,2024-05-21
Via Amiternum L'Aquila (AQ),Accettabile,29,11,18,--,1,102,96,0.1,--,2024-05-21
Via Firenze Pescara (PE),Accettabile,31,12,27,0.75,--,--,--,0.3,--,2024-05-21
Via Sacco Pescara (PE),Accettabile,30,--,21,--,--,102,95,--,--,2024-05-21
Arischia L'Aquila (AQ),Accettabile,--,--,4,--,--,81,74,0.2,--,2024-05-20
Atessa Atessa (CH),Mediocre,36,--,--,0.06,--,--,--,0.2,--,2024-05-20
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,34,11,18,0.24,--,82,78,--,--,2024-05-20
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,14,--,--,84,74,0.3,--,2024-05-20
Francavilla Francavilla al mare (CH),Accettabile,21,4,14,--,--,91,78,0.2,--,2024-05-20
Gammarana Teramo (TE),Accettabile,--,13,14,--,--,--,--,--,--,2024-05-20
Montesilvano Montesilvano (PE),Accettabile,28,11,22,0.21,--,--,--,0.2,--,2024-05-20
Ortona Villa Caldari Ortona (CH),Accettabile,24,13,18,0.35,--,88,81,0.2,--,2024-05-20
Porta Reale Teramo (TE),Accettabile,33,--,29,0.34,--,--,--,0.3,--,2024-05-20
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,11,--,--,84,77,0.1,--,2024-05-20
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,97,83,0.0,409.1,2024-05-20
Scuola Antonelli Chieti Scalo (CH),Scadente,32,28,24,--,1,90,78,0.2,--,2024-05-20
T. D'Annunzio Pescara (PE),Accettabile,28,11,27,0.11,0,75,65,0.0,--,2024-05-20
Via Amiternum L'Aquila (AQ),Accettabile,30,12,21,--,1,86,84,0.1,--,2024-05-20
Via Firenze Pescara (PE),Accettabile,31,14,40,0.79,--,--,--,0.2,--,2024-05-20
Via Sacco Pescara (PE),Accettabile,23,--,36,--,--,93,83,--,--,2024-05-20
Arischia L'Aquila (AQ),Accettabile,--,--,4,--,--,101,94,0.3,--,2024-05-19
Atessa Atessa (CH),Buona,11,--,--,0.06,--,--,--,0.2,--,2024-05-19
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,16,6,21,0.25,--,89,81,--,--,2024-05-19
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,13,--,--,91,83,0.2,--,2024-05-19
Francavilla Francavilla al mare (CH),Accettabile,15,7,17,--,--,93,87,0.2,--,2024-05-19
Gammarana Teramo (TE),Buona,--,7,20,--,--,--,--,--,--,2024-05-19
Montesilvano Montesilvano (PE),Buona,16,7,20,0.19,--,--,--,0.2,--,2024-05-19
Ortona Villa Caldari Ortona (CH),Accettabile,14,9,22,0.35,--,89,88,0.3,--,2024-05-19
Porta Reale Teramo (TE),Accettabile,16,--,44,0.30,--,--,--,0.5,--,2024-05-19
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,13,--,--,97,106,0.2,--,2024-05-19
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,93,77,0.0,401.3,2024-05-19
Scuola Antonelli Chieti Scalo (CH),Accettabile,22,12,34,--,1,89,85,0.2,--,2024-05-19
T. D'Annunzio Pescara (PE),Accettabile,17,8,28,0.07,0,82,76,0.0,--,2024-05-19
Via Amiternum L'Aquila (AQ),Accettabile,14,6,22,--,1,100,93,0.1,--,2024-05-19
Via Firenze Pescara (PE),Accettabile,17,8,58,0.77,--,--,--,0.3,--,2024-05-19
Via Sacco Pescara (PE),Accettabile,15,--,49,--,--,95,90,--,--,2024-05-19
Arischia L'Aquila (AQ),Accettabile,--,--,4,--,--,114,105,0.2,--,2024-05-18
Atessa Atessa (CH),Buona,16,--,--,0.08,--,--,--,0.2,--,2024-05-18
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,10,6,25,0.25,--,116,107,--,--,2024-05-18
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,11,--,--,105,101,0.1,--,2024-05-18
Francavilla Francavilla al mare (CH),Accettabile,n.d.,n.d.,21,--,--,102,101,0.1,--,2024-05-18
Gammarana Teramo (TE),Buona,--,4,25,--,--,--,--,--,--,2024-05-18
Montesilvano Montesilvano (PE),Buona,18,9,24,0.19,--,--,--,0.2,--,2024-05-18
Ortona Villa Caldari Ortona (CH),Accettabile,12,7,20,0.32,--,105,100,0.0,--,2024-05-18
Porta Reale Teramo (TE),Accettabile,33,--,40,0.31,--,--,--,0.4,--,2024-05-18
S. Gregorio S. GREGORIO (AQ),Mediocre,--,--,9,--,--,123,116,0.1,--,2024-05-18
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,112,111,0.0,413.3,2024-05-18
Scuola Antonelli Chieti Scalo (CH),Accettabile,16,9,22,--,2,102,101,0.1,--,2024-05-18
T. D'Annunzio Pescara (PE),Accettabile,24,7,19,n.d.,0,95,90,0.0,--,2024-05-18
Via Amiternum L'Aquila (AQ),Mediocre,11,6,29,--,1,121,113,0.0,--,2024-05-18
Via Firenze Pescara (PE),Accettabile,17,7,48,0.70,--,--,--,0.2,--,2024-05-18
Via Sacco Pescara (PE),Accettabile,12,--,46,--,--,111,109,--,--,2024-05-18
Arischia L'Aquila (AQ),Accettabile,--,--,4,--,--,104,101,0.3,--,2024-05-17
Atessa Atessa (CH),Buona,19,--,--,0.08,--,--,--,0.2,--,2024-05-17
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,32,13,22,0.27,--,113,102,--,--,2024-05-17
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,9,--,--,105,94,0.2,--,2024-05-17
Francavilla Francavilla al mare (CH),Accettabile,25,10,18,--,--,102,88,0.2,--,2024-05-17
Gammarana Teramo (TE),Buona,--,7,18,--,--,--,--,--,--,2024-05-17
Montesilvano Montesilvano (PE),Accettabile,26,9,16,0.20,--,--,--,0.2,--,2024-05-17
Ortona Villa Caldari Ortona (CH),Accettabile,21,12,15,0.35,--,105,91,0.1,--,2024-05-17
Porta Reale Teramo (TE),Buona,18,--,36,0.32,--,--,--,0.3,--,2024-05-17
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,13,--,--,119,111,0.2,--,2024-05-17
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,115,111,0.0,406.5,2024-05-17
Scuola Antonelli Chieti Scalo (CH),Accettabile,32,16,19,--,1,103,94,0.2,--,2024-05-17
T. D'Annunzio Pescara (PE),Accettabile,31,9,23,n.d.,0,81,73,0.0,--,2024-05-17
Via Amiternum L'Aquila (AQ),Accettabile,27,12,19,--,1,109,105,0.2,--,2024-05-17
Via Firenze Pescara (PE),Accettabile,28,10,37,0.70,--,--,--,0.2,--,2024-05-17
Via Sacco Pescara (PE),Accettabile,28,--,26,--,--,100,95,--,--,2024-05-17
Arischia L'Aquila (AQ),Accettabile,--,--,6,--,--,100,88,0.2,--,2024-05-16
Atessa Atessa (CH),Buona,18,--,--,0.08,--,--,--,0.2,--,2024-05-16
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,14,8,22,0.27,--,113,110,--,--,2024-05-16
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,9,--,--,93,88,0.1,--,2024-05-16
Francavilla Francavilla al mare (CH),Accettabile,21,8,20,--,--,104,96,0.2,--,2024-05-16
Gammarana Teramo (TE),Buona,--,6,21,--,--,--,--,--,--,2024-05-16
Montesilvano Montesilvano (PE),Accettabile,21,9,19,0.20,--,--,--,0.2,--,2024-05-16
Ortona Villa Caldari Ortona (CH),Accettabile,18,9,19,0.35,--,103,94,0.1,--,2024-05-16
Porta Reale Teramo (TE),Buona,10,--,35,0.32,--,--,--,0.3,--,2024-05-16
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,7,--,--,102,90,0.1,--,2024-05-16
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,93,88,0.0,403.6,2024-05-16
Scuola Antonelli Chieti Scalo (CH),Accettabile,27,15,19,--,1,94,89,0.1,--,2024-05-16
T. D'Annunzio Pescara (PE),Accettabile,25,9,23,0.54,0,89,82,0.0,--,2024-05-16
Via Amiternum L'Aquila (AQ),Accettabile,16,9,24,--,1,96,87,0.2,--,2024-05-16
Via Firenze Pescara (PE),Accettabile,22,9,38,0.72,--,--,--,0.3,--,2024-05-16
Via Sacco Pescara (PE),Accettabile,22,--,32,--,--,109,102,--,--,2024-05-16
Arischia L'Aquila (AQ),Accettabile,--,--,6,--,--,101,88,0.3,--,2024-05-15
Atessa Atessa (CH),Buona,11,--,--,0.07,--,--,--,0.2,--,2024-05-15
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,8,6,22,0.27,--,100,97,--,--,2024-05-15
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,10,--,--,114,110,0.1,--,2024-05-15
